Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
R200                  27158     -2.86681
R200                  27159     -6.25519
R200                  27160     -9.02042
R200                  27161     -12.7106
R200                  27162     -17.6352
R200                  27163     -4.65762
R200                  27164     -4.22048
R200                  27165       -3.561
R200                  27166     -2.73984
R200                  27167     -2.52071
R200                  27168     -2.73633
R200                  27169      -2.8785
R200                  27170     -2.91903
R200                  27171     0.853025
R200                  27172     0.995647
R200                  27173      1.17287
R200                  27174      1.36818
R200                  27175     -5.53938
R200                  27176     -8.11589
R200                  27177     -11.6086
R200                  27178     -16.1947
R200                  27179     0.755898
R200                  27180     0.857327
R200                  27181      0.99218
R200                  27182      1.14553
R200                  27183     -4.42038
R200                  27184     -4.06605
R200                  27185     -3.49969
R200                  27186     -2.65571
R200                  27187     -2.60723
R200                  27188     -2.71864
R200                  27189     -2.78541
R200                  27190     -2.85252
R200                  27191     -4.23912
R200                  27192     -6.49307
R200                  27193     -9.64621
R200                  27194     -13.9804
R200                  27195     -4.20546
R200                  27196     -3.92151
R200                  27197     -3.41082
R200                  27198     -2.51055
R200                  27199     -2.65594
R200                  27200     -2.65961
R200                  27201     -2.68468
R200                  27202     -2.79334
R200                  27203     -2.43036
R200                  27204     -4.17027
R200                  27205     -6.80058
R200                  27206      -10.679
R200                  27207     0.634648
R200                  27208     0.701816
R200                  27209     0.792444
R200                  27210     0.889878
R200                  27211      -4.0283
R200                  27212     -3.73882
R200                  27213     -3.29428
R200                  27214     -2.28919
R200                  27215     -2.68348
R200                  27216     -2.56165
R200                  27217     -2.54124
R200                  27218     -2.66669
R200                  27219     0.497572
R200                  27220     0.540683
R200                  27221     0.582542
R200                  27222     0.601292
R200                  27223    -0.138933
R200                  27224     -1.12287
R200                  27225     -2.99573
R200                  27226     -6.26313
R200                  27227     0.308086
R200                  27228      0.40649
R200                  27229     0.393457
R200                  27230     0.224869
R200                  27231      -2.9386
R200                  27232     -2.73146
R200                  27233     -2.98521
R200                  27234     -2.10011
R200                  27235     -2.77325
R200                  27236     -2.41672
R200                  27237     -2.23025
R200                  27238     -2.36982
R200                  27239      2.98691
R200                  27240      2.41591
R200                  27241      1.55984
R200                  27242    -0.266247
R200                  27243      -2.6163
R200                  27244     -2.37464
R200                  27245     -2.79774
R200                  27246     -1.91009
R200                  27247     -2.84906
R200                  27248     -2.32063
R200                  27249     -1.98551
R200                  27250     -2.11505
R200                  27251    0.0767391
R200                  27252     0.360988
R200                  27253     0.294215
R200                  27254    -0.276545
R200                  27255      6.74516
R200                  27256      6.29595
R200                  27257      6.77932
R200                  27258      7.57571
R200                  27259     -2.17379
R200                  27260     -2.05724
R200                  27261     -2.60715
R200                  27262      -1.7742
R200                  27263     -3.10601
R200                  27264     -2.44456
R200                  27265     -2.10731
R200                  27266     -2.03321
R200                  27267    -0.240577
R200                  27268     0.500202
R200                  27269      0.37877
R200                  27270    -0.874312
R200                  27271      12.0524
R200                  27272      9.41841
R200                  27273      11.4555
R200                  27274      18.8074
R200                  27275     -3.97096
R200                  27276      -2.9233
R200                  27277     -2.78546
R200                  27278     -2.76469
R200                  27279    -0.424552
R200                  27280     0.846641
R200                  27281     0.664954
R200                  27282     -1.19485
R200                  27283      16.9815
R200                  27284      10.5428
R200                  27285      13.4247
R200                  27286      28.9164
R200                  27287     -1.90007
R200                  27288     -1.88405
R200                  27289     -2.62769
R200                  27290     -1.89657
R200                  27291     -4.05636
R200                  27292     -2.77789
R200                  27293      -2.5262
R200                  27294       -2.383
R200                  27295    -0.484232
R200                  27296     0.955407
R200                  27297     0.817335
R200                  27298     -1.48872
R200                  27299      17.4867
R200                  27300      11.2152
R200                  27301      14.2488
R200                  27302      29.7235
R200                  27303     -2.13256
R200                  27304     -1.85657
R200                  27305     -2.73583
R200                  27306     -2.34412
R200                  27307     -2.80836
R200                  27308     -1.99126
R200                  27309     -1.42531
R200                  27310     -1.15734
R200                  27311     0.714021
R200                  27312      1.21884
R200                  27313      1.49983
R200                  27314      1.44726
R200                  27315      14.1482
R200                  27316      11.7049
R200                  27317      14.4048
R200                  27318        22.86
R200                  27319      1.98479
R200                  27320      1.41522
R200                  27321      1.96422
R200                  27322       4.1874
R200                  27323     -2.68309
R200                  27324     -1.92154
R200                  27325     -2.85738
R200                  27326     -3.09229
R200                  27327     -2.16026
R200                  27328     -1.57396
R200                  27329    -0.959437
R200                  27330    -0.385885
R200                  27331      11.0008
R200                  27332      10.8645
R200                  27333       12.496
R200                  27334      16.1936
R200                  27335      2.71235
R200                  27336      1.51732
R200                  27337      2.17709
R200                  27338      5.72019
R200                  27339     -2.99029
R200                  27340     -2.09787
R200                  27341     -3.05162
R200                  27342     -3.66169
R200                  27343     -1.61834
R200                  27344     -1.34831
R200                  27345    -0.800458
R200                  27346      0.23219
R200                  27347      3.13924
R200                  27348      1.55939
R200                  27349      2.20687
R200                  27350      6.26307
R200                  27351      9.23944
R200                  27352      9.32876
R200                  27353      9.86393
R200                  27354      11.2418
R200                  27355     -2.92112
R200                  27356      -2.3979
R200                  27357     -3.33179
